2016/12/30 12:36:43:161  applicationDidBecomeActive:
2016/12/30 12:36:43:392  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:43:392  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff803301 13>
2016/12/30 12:36:43:392  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:43:393  Recieved page class TACPageRequestPage
2016/12/30 12:36:43:393  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:0|distance:0>
2016/12/30 12:36:43:393  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:43:393  Recieved page class TACPageRequestPage
2016/12/30 12:36:43:393  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:0|distance:0>
2016/12/30 12:36:43:393  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:43:393  Recieved page class TACPageRequestPage
2016/12/30 12:36:43:395  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:36:43:396  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:43:396  Recieved page class TACPageRequestPage
2016/12/30 12:36:43:396  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:36:43:396  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:43:396  Recieved page class TACPageRequestPage
2016/12/30 12:36:43:396  Processed request with page number 55 for UserConfiguration with response <TACPageUserConfiguration|userWeightKg:83|bicycleWheelDiameterOffsetMm:0|bicycleWeightKg:0|bicycleWheelDiameterM:0|gearRatio:0>
2016/12/30 12:36:43:396  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:43:397  Recieved page class TACPageRequestPage
2016/12/30 12:36:43:397  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:36:43:397  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:43:397  Recieved page class TACPageRequestPage
2016/12/30 12:36:43:397  Processed request with page number 51 for TrackResistance with response <TACPageTrackResistance|gradePercent:20000.00>
2016/12/30 12:36:43:397  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:43:397  Recieved page class TACPageRequestPage
2016/12/30 12:36:43:397  Processed request with page number 51 for TrackResistance with response <TACPageTrackResistance|gradePercent:20000.00>
2016/12/30 12:36:43:397  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:43:397  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:43:397  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:43:398  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:43:398  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:43:398  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:43:398  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:43:398  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:43:398  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:43:398  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 00000020>
2016/12/30 12:36:43:398  Notify with data <a4090000 10000000 00000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0|distance:0>
2016/12/30 12:36:43:400  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:43:400  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 00000020>
2016/12/30 12:36:43:400  Notify with data <a4090000 10000000 00000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0|distance:0>
2016/12/30 12:36:43:403  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:43:403  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19000000 00960000>
2016/12/30 12:36:43:403  Notify with data <a4090000 19000000 00960000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:36:43:404  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:43:405  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19000000 00960000>
2016/12/30 12:36:43:405  Notify with data <a4090000 19000000 00960000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:36:43:405  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:43:405  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 376c2000 00000000>
2016/12/30 12:36:43:405  Notify with data <a4090000 376c2000 00000000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageUserConfiguration|userWeightKg:83|bicycleWheelDiameterOffsetMm:0|bicycleWeightKg:0|bicycleWheelDiameterM:0|gearRatio:0>
2016/12/30 12:36:43:406  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:43:406  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19000000 00960000>
2016/12/30 12:36:43:406  Notify with data <a4090000 19000000 00960000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:36:43:406  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:43:406  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 33000000 00204e00>
2016/12/30 12:36:43:406  Notify with data <a4090000 33000000 00204e00> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageTrackResistance|gradePercent:0.00>
2016/12/30 12:36:43:406  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:43:406  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 33000000 00204e00>
2016/12/30 12:36:43:406  Notify with data <a4090000 33000000 00204e00> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageTrackResistance|gradePercent:0.00>
2016/12/30 12:36:43:416  got user weight 83
2016/12/30 12:36:43:438  got user weight 83
2016/12/30 12:36:55:613  elevation calculation <speed:0|slope:0|distance:0|speedtimedistance:0|elevation:0|elevationChange:0>
2016/12/30 12:36:55:658  elevation calculation <speed:0|slope:0|distance:0|speedtimedistance:0|elevation:0|elevationChange:0>
2016/12/30 12:36:55:658  <reader_timed_RPM> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:36:55:658  <reader_timed_Distance> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:55:658  <reader_timed_Speed> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:55:701  elevation calculation <speed:0|slope:0|distance:0|speedtimedistance:0|elevation:0|elevationChange:0>
2016/12/30 12:36:55:701  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:55:701  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:36:55:701  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:55:701  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:55:702  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:55:702  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:55:738  elevation calculation <speed:0|slope:0|distance:0|speedtimedistance:0|elevation:0|elevationChange:0>
2016/12/30 12:36:55:738  <reader_timed_RPM> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:36:55:738  <reader_timed_Distance> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:55:738  <reader_timed_Speed> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:55:738  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:55:739  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:36:55:739  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:55:739  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:55:739  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:55:739  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:55:739  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:55:739  Recieved page class TACPageRequestPage
2016/12/30 12:36:55:739  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:39|powerW:21>
2016/12/30 12:36:55:739  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:55:739  Recieved page class TACPageRequestPage
2016/12/30 12:36:55:739  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:30.00000000000001|distance:0>
2016/12/30 12:36:55:739  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:55:740  Recieved page class TACPageRequestPage
2016/12/30 12:36:55:740  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:30.00000000000001|distance:0>
2016/12/30 12:36:55:740  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:55:740  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:55:740  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:55:740  Recieved page class TACPageRequestPage
2016/12/30 12:36:55:740  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:39|powerW:21>
2016/12/30 12:36:55:741  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:55:741  Recieved page class TACPageRequestPage
2016/12/30 12:36:55:741  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:30.00000000000001|distance:0>
2016/12/30 12:36:55:741  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:55:741  Recieved page class TACPageRequestPage
2016/12/30 12:36:55:741  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:30.00000000000001|distance:0>
2016/12/30 12:36:55:741  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:55:742  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:55:742  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19002700 00150000>
2016/12/30 12:36:55:742  Notify with data <a4090000 19002700 00150000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:39|powerW:21>
2016/12/30 12:36:55:742  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:55:742  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 1e000020>
2016/12/30 12:36:55:742  Notify with data <a4090000 10000000 1e000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.1080000022687017|distance:0>
2016/12/30 12:36:55:742  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:55:742  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:55:743  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:55:743  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:55:743  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 1e000020>
2016/12/30 12:36:55:743  Notify with data <a4090000 10000000 1e000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.1080000022687017|distance:0>
2016/12/30 12:36:55:743  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:55:743  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19002700 00150000>
2016/12/30 12:36:55:743  Notify with data <a4090000 19002700 00150000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:39|powerW:21>
2016/12/30 12:36:55:743  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:55:743  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 1e000020>
