2016/12/30 12:29:35:822  applicationDidBecomeActive:
2016/12/30 12:29:36:078  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:29:36:078  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:29:36:078  Recieved page class TACPageRequestPage
2016/12/30 12:29:36:078  <reader_initial_Distance> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:29:36:078  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:0|distance:0>
2016/12/30 12:29:36:078  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:29:36:079  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:29:36:079  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:29:36:079  <reader_initial_RPM> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:29:36:079  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:29:36:079  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 00000020>
2016/12/30 12:29:36:079  <reader_initial_Watt> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:29:36:079  Notify with data <a4090000 10000000 00000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0|distance:0>
2016/12/30 12:29:36:079  <sup_intial_Watt/KG> requested UserConfiguration:<TACPageRequestPage|requestPage:55>
2016/12/30 12:29:36:079  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:29:36:079  <reader_initial_Watt> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:29:36:079  Recieved page class TACPageRequestPage
2016/12/30 12:29:36:079  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:0|distance:0>
2016/12/30 12:29:36:079  <reader_initial_Slope> requested TrackResistance:<TACPageRequestPage|requestPage:51>
2016/12/30 12:29:36:079  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:29:36:079  <reader_initial_Slope> requested TrackResistance:<TACPageRequestPage|requestPage:51>
2016/12/30 12:29:36:079  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:29:36:079  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:29:36:079  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff803701 17>
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff803301 13>
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff803301 13>
2016/12/30 12:29:36:080  Binding data signals to new activity.
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:29:36:080  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 00000020>
2016/12/30 12:29:36:080  Notify with data <a4090000 10000000 00000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0|distance:0>
2016/12/30 12:29:36:081  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:29:36:081  Recieved page class TACPageRequestPage
2016/12/30 12:29:36:081  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:29:36:081  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:29:36:081  Recieved page class TACPageRequestPage
2016/12/30 12:29:36:081  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:29:36:081  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:29:36:081  Recieved page class TACPageRequestPage
2016/12/30 12:29:36:081  Processed request with page number 55 for UserConfiguration with response <TACPageUserConfiguration|userWeightKg:66|bicycleWheelDiameterOffsetMm:0|bicycleWeightKg:0|bicycleWheelDiameterM:0|gearRatio:0>
2016/12/30 12:29:36:081  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:29:36:081  Recieved page class TACPageRequestPage
2016/12/30 12:29:36:081  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:29:36:082  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:29:36:082  Recieved page class TACPageRequestPage
2016/12/30 12:29:36:082  Processed request with page number 51 for TrackResistance with response <TACPageTrackResistance|gradePercent:20000.00>
2016/12/30 12:29:36:082  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:29:36:082  Recieved page class TACPageRequestPage
2016/12/30 12:29:36:082  Processed request with page number 51 for TrackResistance with response <TACPageTrackResistance|gradePercent:20000.00>
2016/12/30 12:29:36:083  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:29:36:083  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:29:36:083  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:29:36:083  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:29:36:083  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:29:36:083  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:29:36:083  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:29:36:083  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19000000 00960000>
2016/12/30 12:29:36:084  Notify with data <a4090000 19000000 00960000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:29:36:087  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:29:36:087  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19000000 00960000>
2016/12/30 12:29:36:087  Notify with data <a4090000 19000000 00960000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:29:36:088  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:29:36:088  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 37c81900 00000000>
2016/12/30 12:29:36:088  Notify with data <a4090000 37c81900 00000000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageUserConfiguration|userWeightKg:66|bicycleWheelDiameterOffsetMm:0|bicycleWeightKg:0|bicycleWheelDiameterM:0|gearRatio:0>
2016/12/30 12:29:36:089  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:29:36:089  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19000000 00960000>
2016/12/30 12:29:36:089  Notify with data <a4090000 19000000 00960000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:0|powerW:150>
2016/12/30 12:29:36:090  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:29:36:090  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 33000000 00204e00>
2016/12/30 12:29:36:090  Notify with data <a4090000 33000000 00204e00> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageTrackResistance|gradePercent:0.00>
2016/12/30 12:29:36:090  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:29:36:090  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 33000000 00204e00>
2016/12/30 12:29:36:090  Notify with data <a4090000 33000000 00204e00> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageTrackResistance|gradePercent:0.00>
2016/12/30 12:29:36:091  got user weight 66
2016/12/30 12:29:36:140  got user weight 66
2016/12/30 12:30:44:979  found previous peripherial
2016/12/30 12:30:44:986  RZBLog(RZBLogLevelSimulatedDevice): peripheralManagerDidUpdateState: - <RZBMockPeripheralManager: 0x1700929d0>
2016/12/30 12:30:44:986  RZBLog(RZBLogLevelSimulatedDevice): State=5

