2017/01/10 10:35:30:443  applicationDidBecomeActive:
2017/01/10 10:35:30:533  RZBLog(RZBLogLevelDelegateValue): Notify=YES
2017/01/10 10:35:30:533  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:central:didSubscribeToCharacteristic: -  6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E
2017/01/10 10:35:30:533  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateNotificationStateForCharacteristic:error: - 5044EACD-3DE8-4EA8-8520-5A07A4124D09 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2017/01/10 10:35:30:533  RZBLog(RZBLogLevelDelegateValue): Notify=YES
2017/01/10 10:35:30:651  Adding initial activity to realm.
2017/01/10 10:35:30:657  elevation calculation <mps:0|distanceChangeMps:0|distanceChange:0|slopePercentage:0|elechange:0>
2017/01/10 10:35:30:658  RZBLog(RZBLogLevelCommand): EDA61138-2D1F-4083-BBBB-23E5EDB6D379 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2017/01/10 10:35:30:658  RZBLog(RZBLogLevelWriteCommandData): Data=<a4090000 33000000 00204e00>
2017/01/10 10:35:30:658  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2017/01/10 10:35:30:659  recieved <TACPageTrackResistance|gradePercent:0.00>
2017/01/10 10:35:30:659  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2017/01/10 10:35:30:659  RZBLog(RZBLogLevelCommand): EDA61138-2D1F-4083-BBBB-23E5EDB6D379 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2017/01/10 10:35:30:659  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 31ffffff ffff5802 73>
2017/01/10 10:35:30:660  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2017/01/10 10:35:30:660  recieved <TACPageTargetPower|targetPower:150.00>
2017/01/10 10:35:30:660  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2017/01/10 10:35:38:632  Recieved activity primary key.
2017/01/10 10:35:38:633  Setting up new dataset, subscribing to 758442C1-EF67-4ADE-B1FE-48C6B5D788BC.
2017/01/10 10:46:40:208  found previous peripherial
2017/01/10 10:46:40:216  RZBLog(RZBLogLevelSimulatedDevice): peripheralManagerDidUpdateState: - <RZBMockPeripheralManager: 0x17408e060>
2017/01/10 10:46:40:216  RZBLog(RZBLogLevelSimulatedDevice): State=5
2017/01/10 10:46:40:217  RZBLog(RZBLogLevelSimulatedDevice): peripheralManagerDidUpdateState: - <RZBMockPeripheralManager: 0x17408e0b0>
2017/01/10 10:46:40:217  RZBLog(RZBLogLevelSimulatedDevice): State=5

