2017/01/10 10:44:34:764  applicationDidBecomeActive:
2017/01/10 10:44:35:248  elevation calculation <mps:0|distanceChangeMps:0|distanceChange:0|slopePercentage:0|elechange:0>
2017/01/10 10:44:35:254  RZBLog(RZBLogLevelCommand): 0D799DD4-14A2-4A60-8ADB-4B1A49CE6807 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2017/01/10 10:44:35:254  RZBLog(RZBLogLevelWriteCommandData): Data=<a4090000 33000000 00204e00>
2017/01/10 10:44:35:255  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2017/01/10 10:44:35:255  recieved <TACPageTrackResistance|gradePercent:0.00>
2017/01/10 10:44:35:256  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2017/01/10 10:44:35:282  RZBLog(RZBLogLevelCommand): 0D799DD4-14A2-4A60-8ADB-4B1A49CE6807 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2017/01/10 10:44:35:282  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 31ffffff ffff5802 73>
2017/01/10 10:44:35:284  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2017/01/10 10:44:35:284  recieved <TACPageTargetPower|targetPower:150.00>
2017/01/10 10:44:35:285  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2017/01/10 11:22:29:476  found previous peripherial
2017/01/10 11:22:29:484  RZBLog(RZBLogLevelSimulatedDevice): peripheralManagerDidUpdateState: - <RZBMockPeripheralManager: 0x60800009fd10>
2017/01/10 11:22:29:484  RZBLog(RZBLogLevelSimulatedDevice): State=5
2017/01/10 11:22:29:484  RZBLog(RZBLogLevelSimulatedDevice): peripheralManagerDidUpdateState: - <RZBMockPeripheralManager: 0x60800009fdb0>
2017/01/10 11:22:29:484  RZBLog(RZBLogLevelSimulatedDevice): State=5

